ID.Cell.per.Trip,Area,Site,Year,Total.Angler.Hours,Grid.Cell.ID,Barred Sand Bass,Black-and-Yellow Rockfish,Black Rockfish,Blacksmith,Blue Rockfish,Bocaccio,Brown Rockfish,Buffalo Sculpin,Bull Sculpin,Cabezon,Calico Rockfish,California Halibut,California Lizardfish,California Scorpionfish,California Sheephead,Canary Rockfish,Chilipepper Rockfish,China Rockfish,Copper Rockfish,Deacon Rockfish,Fantail Sole,Garibaldi,Gopher Rockfish,Grass Rockfish,Halfmoon,Honeycomb Rockfish,Jack Mackerel,Jack Smelt,Kelp Bass,Kelp Greenling,Kelp Rockfish,Lingcod,Mackerel (Family Scombridae),Northern Anchovy,Ocean Whitefish,Olive or Yellowtail Rockfish,Olive Rockfish,Opaleye,Pacific  (Chub) Mackerel,Pacific Barracuda,Pacific Bonito,Pacific Sanddab,Pacific Sardine,Painted Greenling,Petrale Sole,Pile Perch,Quillback Rockfish,Rock Greenling,Rock Sole,Rock Wrasse,Rosy Rockfish,Rubberlip Seaperch,Salema,Sand Sole,Sanddab spp.,Sarcastic Fringehead,Scalyhead Sculpin,Senorita,Sharpnose Surfperch,Silversides (Family Atherinopsidae),Speckled Sanddab,Spiny Dogfish,Squarespot Rockfish,Starry Rockfish,Striped Seaperch,Tiger Rockfish,Top smelt,Treefish,Tubesnout,UnID Blue Rockfish,Unknown,Unknown rockfish,Vermilion Rockfish,White Croaker,White Seabass,Widow Rockfish,Wolf Eel,Yelloweye Rockfish,Yellowtail Rockfish,Total
ANM07150814,Ano Nuevo,MPA,2008,6.76,AN14,0,0,2.662721893,0,0.591715976,0,0.295857988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.775147929,0,0,0,0,0,0,0,0,0.147928994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.473372781
ANM07150815,Ano Nuevo,MPA,2008,6.89,AN15,0,0,0,0,4.35413643,0,0.145137881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.741654572,0,0,0,0,0,0,0,0,0.435413643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.676342525
ANM07150820,Ano Nuevo,MPA,2008,6.79,AN20,0,0,0,0,0.147275405,0,0,0,0,0,0,0,0,0,0,0,0,0.147275405,0.147275405,0,0,0,0.58910162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.030927835
ANM07150822,Ano Nuevo,MPA,2008,7.5,AN22,0,0,1.6,0,0.666666667,0,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0,0,0.933333333,0,0,0,0,0,0,0.133333333,0,0.266666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0,0,0,0,0,4
ANM07170814,Ano Nuevo,MPA,2008,4.17,AN14,0,0,3.597122302,0,0.479616307,0,0,0,0,0,0,0,0,0,0,0,0,0.239808153,0,0,0,0,0.479616307,0,0,0,0,0,0,0,0,0.239808153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.035971223
ANM07170815,Ano Nuevo,MPA,2008,6.9,AN15,0,0,1.15942029,0,1.594202899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724637681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47826087
ANM07170818,Ano Nuevo,MPA,2008,6.74,AN18,0,0.148367953,1.18694362,0,0.59347181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18694362,0,0,0,0,0,0,0,0.148367953,0.148367953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.412462908
ANM07170820,Ano Nuevo,MPA,2008,6.7,AN20,0,0,0,0,0.298507463,0,0.149253731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149253731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597014925
ANM07191714,Ano Nuevo,MPA,2017,7.64,AN14,0,0,3.403141361,0,7.329842932,0,0,0,0,0,0,0,0,0,0,0.130890052,0,0.654450262,0,0,0,0,1.963350785,0,0,0,0,0,0,0.130890052,0,0.916230366,0,0,0,0,2.356020942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.047120419,0,0,0,0,0,0,17.93193717
ANM07191716,Ano Nuevo,MPA,2017,8.48,AN16,0,0,1.297169811,0,8.018867925,0,0.117924528,0,0,0.117924528,0,0,0,0,0,0,0,0.353773585,0,0.235849057,0,0,2.004716981,0,0,0,0,0,0,0,0,0.70754717,0,0,0,0,2.476415094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825471698,0,0,0,0,0,0,16.15566038
ANM07191719,Ano Nuevo,MPA,2017,6.92,AN19,0,0,0.289017341,0,3.468208092,0,0.578034682,0,0,0,0,0,0,0,0,0.289017341,0,0,0.144508671,0.144508671,0,0,1.878612717,0,0,0,0,0,0,0,0,1.156069364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289017341,0,0,0,0,0,0,8.23699422
ANM07191721,Ano Nuevo,MPA,2017,7.36,AN21,0,0,0.135869565,0,8.152173913,0,2.038043478,0,0,0,0,0,0,0,0,0.815217391,0,0.135869565,0,0.815217391,0,0,0.951086957,0,0,0,0,0,0,0,0,1.222826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26630435
ANM07251813,Ano Nuevo,MPA,2018,4.91,AN13,0,0,0.814663951,0,12.83095723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.425661914,0,0,0,0,0,0,0.203665988,0,0,0,0,0,0,0.814663951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407331976,0,0,0,0,0,0,16.49694501
ANM07251817,Ano Nuevo,MPA,2018,4.97,AN17,0,0,1.609657948,0,16.49899396,0,0,0,0,0,0,0,0,0,0,0,0,0.201207243,0,0,0,0,0.201207243,0,0,0,0,0,0,0.201207243,0,0.201207243,0,0,0,0,0.201207243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.11468813
ANM07251819,Ano Nuevo,MPA,2018,5.06,AN19,0,0,0,0,5.731225296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197628458,0,0,0,0,0,0,0,0,0,0,0,0.395256917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197628458,0,0,0,0,0,0,6.52173913
ANM07270917,Ano Nuevo,MPA,2009,2.1,AN17,0,0,1.904761905,0,0.476190476,0,0,0,0,0,0,0,0,0,0,0.476190476,0,0,0,0,0,0,0.952380952,0,0,0,0,0,0,0.476190476,0.476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904762
ANM07270919,Ano Nuevo,MPA,2009,6.74,AN19,0,0,1.18694362,0,2.670623145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.483679525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296735905,0,0,0,0,0,0.741839763,6.379821958
ANM07270922,Ano Nuevo,MPA,2009,4.18,AN22,0,0,0,0,1.196172249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23923445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.435406699
ANM07290914,Ano Nuevo,MPA,2009,6.69,AN14,0,0,2.541106129,0,2.242152466,0,0,0,0,0.149476831,0,0,0,0,0,0,0,0.448430493,0,0,0,0,2.092675635,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149476831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149476831,0,0,0,0,0,0,7.772795217
ANM07290917,Ano Nuevo,MPA,2009,6.68,AN17,0,0,0.598802395,0,0.748502994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.245508982,0,0,0,0,0,0,0.149700599,0,0.149700599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449101796,0,0,0,0,0,0,4.341317365
ANM07290919,Ano Nuevo,MPA,2009,6.74,AN19,0,0,0,0,2.37388724,0,0.148367953,0,0,0,0,0,0,0,0,0.296735905,0,0,0.296735905,0,0,0,3.560830861,0,0,0,0,0,0,0,0,0.445103858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.445103858,0,0,0,0,0,0.296735905,7.863501484
ANM07290922,Ano Nuevo,MPA,2009,6.73,AN22,0,0,0.59435364,0,1.040118871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.120356612,0,0,0,0,0,0,0.14858841,0,0.59435364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59435364,0.14858841,0,0,0,0,0,6.240713224
ANM08041414,Ano Nuevo,MPA,2014,9.16,AN14,0,0,4.366812227,0,0.109170306,0,0,0,0,0.327510917,0,0,0,0,0,0.655021834,0,0.327510917,0,0,0,0,1.419213974,0,0,0,0,0,0,0,0,1.855895197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109170306,0,0,0,0,0,0,9.170305677
