Common Name,Species.Name,Female.Maturity.cm
Black Rockfish,S.melanops,41
Blue Rockfish,S.mystinus,22
Bocaccio,S.paucispinis,40
Canary Rockfish,S.pinninger,44.5
Cabezon,Scorpaenichthys marmoratus,34
Chilipepper,S.goodei,26
China Rockfish,S.nebulosus,27
Copper Rockfish,S.caurinus,31
Deacon Rockfish,S.diaconus,24
Greenspotted Rockfish,S.chlorostictus,27
Gopher Rockfish,S.carnatus,17
Flag Rockfish,S.rubrivinctus,34
Kelp Rockfish,S.atrovirens,21
Lingcod,Ophiodon elongatus,57
Olive Rockfish,S.serranoides,35
Vermilion Rockfish,S.miniatus,38
Yellowtail Rockfish,S.flavidus,35
Rosy Rockfish,S.rosaceus,17
Starry Rockfish,S.constellatus,26
Widow,S.entomelas,38
Yelloweye Rockfish,S.ruberrimus,40
